PSNR,SSIM,filename
14.29188234100204,0.5247159490162123,100_20220705_3_20220705_173034_0.mat
15.431217839540324,0.5531697771774307,100_20220705_3_20220705_173034_1.mat
16.801454651459085,0.5784258303761244,100_20220705_3_20220705_173034_2.mat
16.264648858489128,0.5683305098779288,100_20220705_3_20220705_173034_3.mat
16.843959462908778,0.5721800201434424,100_20220705_3_20220705_173034_4.mat
17.332724070432842,0.5851154998659284,100_20220705_3_20220705_173034_5.mat
16.202767172452173,0.5709661290571787,100_20220705_3_20220705_173034_6.mat
16.48206934728473,0.5627463416517,100_20220705_3_20220705_173034_7.mat
16.97699402353974,0.5838089964696527,100_20220705_3_20220705_173034_8.mat
17.055776748426254,0.592826765934862,100_20220705_3_20220705_173034_9.mat
16.896526082762417,0.6319539372573258,100_20220705_3_20220705_173034_10.mat
17.43891994040402,0.6781698540003503,100_20220705_3_20220705_173034_11.mat
17.206975545815478,0.6751762404210169,100_20220705_3_20220705_173034_12.mat
17.939723837649314,0.679800171964612,100_20220705_3_20220705_173034_13.mat
16.858298640632217,0.6555603881487213,100_20220705_3_20220705_173034_14.mat
16.66477202656852,0.6347525623325551,100_20220705_3_20220705_173034_15.mat
17.04498970507935,0.6369480186797892,100_20220705_3_20220705_173034_16.mat
17.244680787302137,0.6416767202597725,100_20220705_3_20220705_173034_17.mat
17.414748980700928,0.6458906754435276,100_20220705_3_20220705_173034_18.mat
18.10664103479867,0.6474456704225394,100_20220705_3_20220705_173034_19.mat
16.29777403077822,0.5980947253026042,100_20220705_3_20220705_173034_20.mat
15.206427054774078,0.5589272926131628,100_20220705_3_20220705_173034_21.mat
15.931609503319585,0.5674925312657406,100_20220705_3_20220705_173034_22.mat
16.15243130453775,0.5643521712373429,100_20220705_3_20220705_173034_23.mat
16.907315054040346,0.5832210089834944,100_20220705_3_20220705_173034_24.mat
16.43487747167191,0.5425440003060712,100_20220705_3_20220705_173034_25.mat
16.192112354364937,0.536577354012989,100_20220705_3_20220705_173034_26.mat
17.403447948287884,0.564064548812583,100_20220705_3_20220705_173034_27.mat
17.076090972800785,0.5675696113809221,100_20220705_3_20220705_173034_28.mat
16.035935589553944,0.5533161108036518,100_20220705_3_20220705_173034_29.mat
17.712315838365512,0.5751318165885899,100_20220705_3_20220705_173034_30.mat
18.6992921871641,0.6101369215211684,100_20220705_3_20220705_173034_31.mat
17.251808857048974,0.5927709967188947,100_20220705_3_20220705_173034_32.mat
17.13349748071337,0.5627158701971454,100_20220705_3_20220705_173034_33.mat
17.521621306474366,0.5255787617917239,100_20220705_3_20220705_173034_34.mat
16.52343312472466,0.5227490055206055,100_20220705_3_20220705_173034_35.mat
16.262021468886868,0.526775423569209,100_20220705_3_20220705_173034_36.mat
17.053761397675697,0.5474791520333614,100_20220705_3_20220705_173034_37.mat
17.31904291927816,0.5703513806265629,100_20220705_3_20220705_173034_38.mat
15.831396692117274,0.5259858202014562,100_20220705_3_20220705_173034_39.mat
17.11068622772289,0.5831640613481205,100_20220705_3_20220705_173034_40.mat
17.207011323658488,0.5967197364689976,100_20220705_3_20220705_173034_41.mat
17.608282079991636,0.6071162848214843,100_20220705_3_20220705_173034_42.mat
17.613095525104015,0.6030958115035424,100_20220705_3_20220705_173034_43.mat
